STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Lakshadweep,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,TOTAL IPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2013,MURDER,0,0,0,3691,59,3750,5076,194,5270,1253,42,1295,10020,295,10315
Madhya Pradesh,2013,ATTEMPT TO COMMIT MURDER,0,0,0,249,5,254,309,18,327,74,0,74,632,23,655
Madhya Pradesh,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,150,9,159,250,19,269,55,3,58,455,31,486
Madhya Pradesh,2013,RAPE,0,0,0,642,4,646,439,8,447,64,0,64,1145,12,1157
Madhya Pradesh,2013,KIDNAPPING AND ABDUCTION,0,0,0,144,7,151,146,9,155,41,1,42,331,17,348
Madhya Pradesh,2013,DACOITY,0,0,0,117,0,117,106,3,109,20,0,20,243,3,246
Madhya Pradesh,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,24,0,24,25,0,25,5,0,5,54,0,54
Madhya Pradesh,2013,ROBBERY,0,0,0,150,0,150,99,0,99,13,0,13,262,0,262
Madhya Pradesh,2013,BURGLARY,0,0,0,40,0,40,39,2,41,5,0,5,84,2,86
Madhya Pradesh,2013,THEFTS,0,0,0,110,0,110,115,2,117,7,0,7,232,2,234
Madhya Pradesh,2013,EXTORTION,0,0,0,15,0,15,17,0,17,0,0,0,32,0,32
Madhya Pradesh,2013,RIOTS,0,0,0,9,0,9,15,0,15,3,0,3,27,0,27
Madhya Pradesh,2013,ARSON,0,0,0,25,0,25,16,0,16,8,0,8,49,0,49
Madhya Pradesh,2013,CRIMINAL BREACH OF TRUST,0,0,0,11,0,11,29,0,29,9,0,9,49,0,49
Madhya Pradesh,2013,CHEATING,0,0,0,23,2,25,38,1,39,19,0,19,80,3,83
Madhya Pradesh,2013,COUNTER FEITING,0,0,0,10,0,10,16,0,16,3,0,3,29,0,29
Madhya Pradesh,2013,DOWRY DEATHS,0,0,0,112,23,135,128,26,154,64,15,79,304,64,368
Madhya Pradesh,2013,MOLESTATION,0,0,0,39,0,39,32,0,32,9,0,9,80,0,80
Madhya Pradesh,2013,EVE-TEASING,0,0,0,2,0,2,24,0,24,2,0,2,28,0,28
Madhya Pradesh,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,26,1,27,20,2,22,10,0,10,56,3,59
Madhya Pradesh,2013,OTHER IPC CRIMES,0,0,0,429,3,432,318,16,334,80,1,81,827,20,847
Madhya Pradesh,2013,TOTAL IPC,0,0,0,6018,113,6131,7257,300,7557,1744,62,1806,15019,475,15494
Maharashtra,2013,MURDER,3,0,3,941,16,957,2755,95,2850,1174,40,1214,4873,151,5024
Maharashtra,2013,ATTEMPT TO COMMIT MURDER,0,0,0,127,3,130,45,13,58,34,5,39,206,21,227
Maharashtra,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,55,3,58,53,4,57,16,4,20,124,11,135
Maharashtra,2013,RAPE,3,0,3,58,0,58,118,0,118,26,0,26,205,0,205
Maharashtra,2013,KIDNAPPING AND ABDUCTION,0,0,0,73,3,76,55,2,57,22,1,23,150,6,156
Maharashtra,2013,DACOITY,0,0,0,52,0,52,59,0,59,7,0,7,118,0,118
Maharashtra,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,90,8,98,62,7,69,7,0,7,159,15,174
Maharashtra,2013,ROBBERY,4,0,4,79,18,97,70,16,86,5,0,5,158,34,192
Maharashtra,2013,BURGLARY,0,0,0,41,0,41,54,1,55,11,0,11,106,1,107
Maharashtra,2013,THEFTS,12,0,12,69,25,94,54,14,68,13,0,13,148,39,187
Maharashtra,2013,EXTORTION,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6
Maharashtra,2013,RIOTS,0,0,0,7,0,7,4,0,4,0,0,0,11,0,11
Maharashtra,2013,ARSON,0,0,0,24,30,54,27,15,42,0,0,0,51,45,96
Maharashtra,2013,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,7,0,7,0,0,0,8,0,8
Maharashtra,2013,CHEATING,0,0,0,61,10,71,34,10,44,1,0,1,96,20,116
Maharashtra,2013,COUNTER FEITING,0,0,0,1,0,1,16,1,17,2,1,3,19,2,21
Maharashtra,2013,DOWRY DEATHS,0,0,0,8,1,9,34,3,37,12,0,12,54,4,58
Maharashtra,2013,MOLESTATION,0,0,0,7,0,7,14,0,14,1,3,4,22,3,25
Maharashtra,2013,EVE-TEASING,0,0,0,1,0,1,3,0,3,0,0,0,4,0,4
Maharashtra,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,5,0,5,33,11,44,17,4,21,55,15,70
Maharashtra,2013,OTHER IPC CRIMES,5,0,5,157,2,159,170,1,171,40,0,40,372,3,375
Maharashtra,2013,TOTAL IPC,27,0,27,1860,119,1979,3670,193,3863,1388,58,1446,6945,370,7315
Manipur,2013,MURDER,0,0,0,7,0,7,6,1,7,9,0,9,22,1,23
Manipur,2013,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Manipur,2013,C.H. NOT AMOUNTING TO MURDER,0,0,0,1,0,1,0,1,1,0,0,0,1,1,2
Manipur,2013,RAPE,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6
Manipur,2013,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,THEFTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2013,OTHER IPC CRIMES,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
